episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
326,19.077500,-20.000000,38.577500,0.519621,119.027518,1950,622,6867
327,30.285833,-15.000000,42.285833,0.518582,129.790219,2123,628,6888
328,17.192667,-16.000000,30.692667,0.517545,94.347348,1545,633,6909
329,37.283500,-14.000000,47.783500,0.516510,147.952275,2397,640,6930
330,36.957667,-18.000000,53.457667,0.515477,165.406163,2685,643,6951
331,9.757667,-20.000000,29.257667,0.514446,89.884920,1469,644,6972
332,21.985333,-17.000000,36.985333,0.513417,116.690886,1869,648,6993
333,32.030333,-13.000000,41.030333,0.512390,128.263826,2070,656,7014
334,19.185667,-19.000000,37.185667,0.511365,115.857164,1868,658,7035
335,17.750167,-19.000000,35.750167,0.510343,110.123883,1800,660,7056
336,32.463667,-14.000000,42.963667,0.509322,133.017437,2159,667,7077
337,32.960667,-17.000000,47.960667,0.508303,148.921916,2413,671,7098
338,22.510000,-19.000000,40.510000,0.507287,126.628250,2044,673,7119
339,39.260667,-13.000000,48.260667,0.506272,150.635630,2430,681,7140
340,32.727833,-16.000000,46.227833,0.505260,144.059435,2330,686,7161
341,29.222833,-16.000000,42.722833,0.504249,134.671046,2155,691,7182
342,14.438000,-20.000000,33.938000,0.503241,106.370005,1706,692,7203
343,47.473000,-12.000000,54.973000,0.502234,171.664851,2778,701,7224
344,16.495333,-19.000000,34.495333,0.501230,108.608249,1743,703,7245
345,15.240167,-19.000000,33.240167,0.500227,103.637674,1678,705,7266
346,22.631000,-19.000000,40.631000,0.499227,126.592237,2039,707,7287
347,28.473500,-18.000000,44.973500,0.498228,139.943135,2256,710,7308
348,41.193167,-16.000000,54.693167,0.497232,171.576650,2751,715,7329
349,25.478000,-16.000000,38.978000,0.496237,121.335034,1967,720,7350
350,33.983000,-16.000000,47.483000,0.495245,148.564923,2388,725,7371
351,28.886000,-19.000000,46.886000,0.494254,145.693202,2352,727,7392
352,47.473167,-12.000000,54.973167,0.493266,171.628729,2771,736,7413
353,26.893500,-16.000000,40.393500,0.492279,125.912080,2028,741,7434
354,43.066000,-13.000000,52.066000,0.491295,163.691009,2621,749,7455
355,25.550167,-17.000000,40.550167,0.490312,127.177308,2052,753,7476
356,24.767833,-18.000000,41.267833,0.489332,128.954481,2078,756,7497
357,31.633167,-16.000000,45.133167,0.488353,141.075021,2268,761,7518
358,27.555500,-15.000000,39.555500,0.487376,124.552524,1997,767,7539
359,42.833500,-12.000000,50.333500,0.486401,159.853515,2529,776,7560
360,43.491333,-15.000000,55.491333,0.485429,185.775899,2793,782,7581
361,45.900333,-15.000000,57.900333,0.484458,181.775068,2912,788,7602
362,34.548167,-18.000000,51.048167,0.483489,160.130201,2565,791,7623
363,30.185500,-15.000000,42.185500,0.482522,132.927604,2128,797,7644
364,27.960667,-17.000000,42.960667,0.481557,136.496570,2170,801,7665
365,26.673000,-16.000000,40.173000,0.480594,130.262781,2026,806,7686
366,23.260000,-17.000000,38.260000,0.479633,125.017838,1930,810,7707
367,33.020333,-17.000000,48.020333,0.478673,150.658202,2418,814,7728
368,34.846167,-15.000000,46.846167,0.477716,147.573406,2361,820,7749
369,27.543000,-14.000000,38.043000,0.476761,120.151534,1913,827,7770
370,24.867833,-18.000000,41.367833,0.475807,130.461811,2077,830,7791
371,13.932833,-18.000000,30.432833,0.474855,95.739426,1534,833,7812
372,29.042667,-16.000000,42.542667,0.473906,134.466013,2145,838,7833
373,36.473167,-16.000000,49.973167,0.472958,158.239708,2509,843,7854
374,30.558333,-16.000000,44.058333,0.472012,138.511681,2211,848,7875
375,29.527833,-18.000000,46.027833,0.471068,145.479447,2320,851,7896
376,36.413333,-16.000000,49.913333,0.470126,156.616337,2510,856,7917
377,40.384000,-12.000000,47.884000,0.469186,150.924154,2407,865,7938
378,17.822500,-20.000000,37.322500,0.468247,118.001338,1882,866,7959
379,44.160833,-13.000000,53.160833,0.467311,169.107559,2677,874,7980
380,36.585833,-17.000000,51.585833,0.466376,163.493509,2592,878,8001
381,16.422500,-18.000000,32.922500,0.465443,104.487859,1656,881,8022
382,47.260667,-11.000000,53.260667,0.464512,168.601695,2684,891,8043
383,39.958000,-16.000000,53.458000,0.463583,169.637038,2694,896,8064
